Tiktoker name,Subscribers,Views,Likes,Comments,Shares avg.,Month
itsqcp,12.2M,554.8K,86.7K,1.2K,7.9K,12
itssassagurl,12M,636.4K,84.1K,1.1K,7.1K,11
itzyofficial,5.1M,3.1M,195.9K,1.2K,264,12
iury.ofc,5.1M,2.4M,227.9K,820,155,11
ivanaalawi,14.9M,1.6M,141.7K,1.2K,580,12
ivanantoniochacon,1.6M,1.8M,146.6K,958,1.6K,12
jackjos3ph,1.4M,1.8M,180.5K,925,1.3K,11
jackktierney,608.8K,2M,116.8K,3.3K,3.8K,12
jacobday,3.7M,1.7M,121.4K,1.1K,826,11
jacobwitzling,3.7M,1.7M,121.4K,1.1K,826,11
jacobwitzling,66.3M,3.2M,205.1K,1.7K,681,12
jacopoaquila_,1.2M,1.7M,281.6K,1.4K,465,12
jadethirlwall,5M,2.6M,520.1K,812,473,12
jaimefrench,4.4M,2.5M,468.7K,1.3K,565,11
jaimeonod,147.9K,791.7K,64.1K,1.4K,6.1K,11
jairitosolano,407.1K,3.4M,452K,654,154,12
jairsanchezzz,1.3M,4.1M,311K,444,406,11
jakeandrich,1.5M,3.1M,283.2K,400,267,12
jakeceja,55K,935.1K,62.7K,1.3K,8K,12
jakekrantz,28.4M,18.6M,1.8M,7.5K,19K,12
jakepaul,27.9M,11.8M,1.7M,6.9K,29.3K,11
jamal.jamael,11.2M,2.2M,384.4K,724,372,12
jamarcus,11.1M,1.7M,262.2K,562,475,11
jamescharles,1.5M,2M,370.8K,984,5.8K,11
jamesllewis,1.6M,1.3M,250.8K,769,1.2K,12
jamroz_,5.4M,1.1M,79.5K,589,12.1K,12
janinalchair,5.3M,1.1M,86K,438,9.4K,11
jannatmirza,8.5M,6M,812.3K,6.7K,6K,12
janneksplace,7.5M,3M,265.9K,1.6K,1.4K,11
japanfriends,4M,2.7M,314K,654,364,12
jashlem,3.7M,2.3M,243.9K,841,517,11
jasminechiswell,5.9M,5.7M,219.7K,13.8K,543,11
jasonderulo,1.8M,2.3M,202.1K,310,1.9K,11
jauncydev,3.5M,2.4M,290.7K,1.6K,5.6K,12
jawarshere,3.5M,2.3M,283.5K,1.5K,5.6K,11
jaxwritessongs,2.1M,2.4M,114.1K,899,2.8K,12
jaykindafunny8,911K,2.3M,254.1K,1.3K,2.3K,12
jayrscottyy,7.7M,3.2M,298.2K,1.1K,437,12
jaywheeler,7.7M,3.6M,398.2K,1.4K,619,11
jdiasss_,7.3M,1.7M,200.7K,6.6K,3.8K,12
jdpantoja,7.2M,1.9M,158.9K,5.6K,2.5K,11
jejenvalda,6.2M,3M,514K,1.7K,1.2K,12
jelena.unforgetable,5.9M,3.1M,493.8K,1.4K,1.6K,11
jemimajune_,26.4M,3M,423.7K,884,1.9K,12
jennialarcon_,26.3M,7.4M,1.2M,3.2K,2K,11
jennyhan,15.1M,1.7M,185.3K,1.2K,178,11
jennylek,1M,726.2K,150.7K,679,2.5K,11
jeremyhutchins,8.3M,1.8M,352.8K,1.7K,771,12
jericktriana,8.3M,1.5M,261.4K,1.2K,582,11
jerofreixas,7.7M,1.4M,272.4K,2K,2.1K,12
jessechrisss,2.4M,2.2M,145.4K,623,930,12
jesusangelperezoficial,4.5M,1.4M,130.8K,1.7K,573,12
jesusnalgas,16.8M,3.2M,108.4K,1.2K,797,12
jezzzini,16.2M,3.3M,170.1K,985,793,11
jhothsa,976.9K,1.3M,131.3K,696,2.3K,12
jiembasands,954.7K,1.9M,118.6K,1K,1.2K,11
jimena.jimenezr,1.8M,2.4M,531.1K,3.8K,3.4K,11
jimenibby,278.4K,1.3M,92.2K,2.7K,3.6K,11
jimmydarts,6.3M,534.7K,77.6K,976,9.8K,12
